"","NE","NS","SE"
"GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION",-2.48463507972546,-0.304436881502321,-2.33216017014312
"GO_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY",-2.37223664868329,-0.328264455641548,-2.09753614960801
"GO_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION",-2.47908380359456,-0.336003528567495,-2.32652051758845
"GO_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY",-2.32439986583381,-0.348743606202226,-2.13282446666533
"GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY",-3.40704744116393,-0.5725928736681,-3.07330476074363
"GO_T_CELL_RECEPTOR_COMPLEX",-2.99342105059114,-0.457402624644019,-2.62509840898326
"GO_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION",-2.39091679302671,-0.333152586945744,-2.23180548179393
"GO_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION",-2.13696607591219,-0.317092418567493,-2.01810972846791
"GO_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION",-2.1765050066474,-0.329527906699427,-1.92912163538764
"GO_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS",-2.43536452505057,-0.362090081806103,-2.12705044387718
"GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION",-2.18781436638832,-0.315392314775712,-2.01325739274955
"GO_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE",-2.1376976127592,-0.247658115863266,-2.04443051801564
"GO_REGULATION_OF_T_CELL_PROLIFERATION",-2.29367381409241,-0.315313369527869,-2.17770813932264
"GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION",-2.28737414721662,-0.355359077413616,-2.07764629363822
"GO_REGULATION_OF_CELL_CELL_ADHESION",-2.40662292552147,-0.32213211514898,-2.24612625369058
"GO_REGULATION_OF_T_CELL_DIFFERENTIATION",-2.15011734730657,-0.32348994854087,-2.02159744920678
"GO_REGULATION_OF_CELL_ACTIVATION",-2.37651628077668,-0.333932786113497,-2.13743239680737
"GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION",-2.39226468551541,-0.327161731894667,-2.19481678240106
"GO_LEUKOCYTE_ACTIVATION",-2.44876844925749,-0.32856456663953,-2.20237431079488
"GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION",-2.16883833031283,-0.287745276063827,-2.01125948792894
